"C:\DIANA\Section B\VolatilityWorkbench\vol.exe" -f "D:\SectionB\RAM Capture\RAM CAPTURE 3.raw" windows.ldrmodules.LdrModules 
Volatility 3 Framework 2.5.0
Pid	Process	Base	InLoad	InInit	InMem	MappedPath
944	svchost.exe	0x737d0000	True	True	True	\Windows\System32\dxgi.dll

944	svchost.exe	0x73790000	True	True	True	\Windows\System32\mintdh.dll
944	svchost.exe	0x73870000	True	True	True	\Windows\System32\tdh.dll
944	svchost.exe	0x73910000	True	True	True	\Windows\System32\umpoext.dll
944	svchost.exe	0x747c0000	True	True	True	\Windows\System32\KernelBase.dll
944	svchost.exe	0x742c0000	True	True	True	\Windows\System32\wldp.dll
944	svchost.exe	0x739b0000	True	True	True	\Windows\System32\umpnpmgr.dll
944	svchost.exe	0x73950000	True	True	True	\Windows\System32\slc.dll
944	svchost.exe	0x73980000	True	True	True	\Windows\System32\umpo.dll
944	svchost.exe	0x73d50000	True	True	True	\Windows\System32\rsaenh.dll
944	svchost.exe	0x73b50000	True	True	True	\Windows\System32\ntmarta.dll
944	svchost.exe	0x73ba0000	True	True	True	\Windows\System32\winsta.dll
944	svchost.exe	0x74230000	True	True	True	\Windows\System32\cryptsp.dll
944	svchost.exe	0x74250000	True	True	True	\Windows\System32\cryptbase.dll
944	svchost.exe	0x74660000	True	True	True	\Windows\System32\sspicli.dll
944	svchost.exe	0x74550000	True	True	True	\Windows\System32\devobj.dll
944	svchost.exe	0x74330000	True	True	True	\Windows\System32\bcrypt.dll
944	svchost.exe	0x74580000	True	True	True	\Windows\System32\EventAggregation.dll
944	svchost.exe	0x74630000	True	True	True	\Windows\System32\userenv.dll
944	svchost.exe	0x74730000	True	True	True	\Windows\System32\powrprof.dll
944	svchost.exe	0x74720000	True	True	True	\Windows\System32\fltLib.dll
944	svchost.exe	0x74780000	True	True	True	\Windows\System32\kernel.appcore.dll

944	svchost.exe	0x747a0000	True	True	True	\Windows\System32\profapi.dll
944	svchost.exe	0x75670000	True	True	True	\Windows\System32\kernel32.dll
944	svchost.exe	0x74bc0000	True	True	True	\Windows\System32\crypt32.dll
944	svchost.exe	0x74ad0000	True	True	True	\Windows\System32\bcryptprimitives.dll
944	svchost.exe	0x749b0000	True	True	True	\Windows\System32\ucrtbase.dll
944	svchost.exe	0x754b0000	True	True	True	\Windows\System32\msvcp_win.dll
944	svchost.exe	0x74ed0000	True	True	True	\Windows\System32\win32u.dll
944	svchost.exe	0x74d60000	True	True	True	\Windows\System32\gdi32full.dll
944	svchost.exe	0x74ef0000	True	True	True	\Windows\System32\windows.storage.dll
944	svchost.exe	0x75580000	True	True	True	\Windows\System32\cfgmgr32.dll
944	svchost.exe	0x75530000	True	True	True	\Windows\System32\wintrust.dll
944	svchost.exe	0x75620000	True	True	True	\Windows\System32\shlwapi.dll
944	svchost.exe	0x77d10000	True	True	True	\Windows\System32\ntdll.dll
944	svchost.exe	0x77120000	True	True	True	\Windows\System32\rpcrt4.dll
944	svchost.exe	0x76fd0000	True	True	True	\Windows\System32\advapi32.dll
944	svchost.exe	0x76f10000	True	True	True	\Windows\System32\gdi32.dll
944	svchost.exe	0x76f40000	True	True	True	\Windows\System32\coml2.dll
944	svchost.exe	0x77050000	True	True	True	\Windows\System32\msvcrt.dll
944	svchost.exe	0x775a0000	True	True	True	\Windows\System32\combase.dll
944	svchost.exe	0x77340000	True	True	True	\Windows\System32\sechost.dll
944	svchost.exe	0x77420000	True	True	True	\Windows\System32\user32.dll
944	svchost.exe	0x77900000	True	True	True	\Windows\System32\oleaut32.dll
944	svchost.exe	0x77800000	True	True	True	\Windows\System32\ole32.dll
1036	svchost.exe	0x1240000	False	False	False	\Windows\System32\en-US\mswsock.dll.mui
1036	svchost.exe	0x1270000	True	False	True	\Windows\System32\svchost.exe
1036	svchost.exe	0x33b0000	False	False	False	\Windows\System32\en-US\combase.dll.mui
1036	svchost.exe	0x6b680000	True	True	True	\Windows\System32\FWPUCLNT.DLL

1036	svchost.exe	0x70390000	True	True	True	\Windows\System32\usermgrcli.dll
1036	svchost.exe	0x6d2e0000	True	True	True	\Windows\System32\capauthz.dll
1036	svchost.exe	0x72db0000	True	True	True	\Windows\System32\wtsapi32.dll
1036	svchost.exe	0x73630000	True	True	True	\Windows\System32\RpcRtRemote.dll
1036	svchost.exe	0x747c0000	True	True	True	\Windows\System32\KernelBase.dll
1036	svchost.exe	0x740b0000	True	True	True	\Windows\System32\mswsock.dll
1036	svchost.exe	0x73ab0000	True	True	True	\Windows\System32\fwbase.dll
1036	svchost.exe	0x73660000	True	True	True	\Windows\System32\rpcss.dll
1036	svchost.exe	0x73ae0000	True	True	True	\Windows\System32\FirewallAPI.dll
1036	svchost.exe	0x73ba0000	True	True	True	\Windows\System32\winsta.dll
1036	svchost.exe	0x74660000	True	True	True	\Windows\System32\sspicli.dll
1036	svchost.exe	0x742c0000	True	True	True	\Windows\System32\wldp.dll
1036	svchost.exe	0x74330000	True	True	True	\Windows\System32\bcrypt.dll
1036	svchost.exe	0x74780000	True	True	True	\Windows\System32\kernel.appcore.dll
1036	svchost.exe	0x74730000	True	True	True	\Windows\System32\powrprof.dll
1036	svchost.exe	0x77120000	True	True	True	\Windows\System32\rpcrt4.dll
1036	svchost.exe	0x75670000	True	True	True	\Windows\System32\kernel32.dll
1036	svchost.exe	0x74bc0000	True	True	True	\Windows\System32\crypt32.dll
